rank,team,metric,dimension,dimension_value,team_value,league_avg,std_devs_away,sample_size,interpretation,entity_type,player_id,player_label,posteam
1,T.Thornton,air_yards,receiver:shotgun_label,Shotgun,27.1111,8.092,11.554,36,"T.Thornton [receiver:shotgun_label=Shotgun]: air_yards=27.111 vs league 8.092 (+19.019), n=36, z=11.55 — 11.6 std devs above average",player,00-0038104,T.Thornton,KC
2,A.Jeanty,air_yards,receiver:pass_length,short,-2.0845,4.2779,-9.752,71,"A.Jeanty [receiver:pass_length=short]: air_yards=-2.084 vs league 4.278 (-6.362), n=71, z=-9.75 — 9.8 std devs below average",player,00-0040122,A.Jeanty,LV
3,A.Pierce,air_yards,receiver:pressure_label,Clean,19.5522,7.9564,9.511,67,"A.Pierce [receiver:pressure_label=Clean]: air_yards=19.552 vs league 7.956 (+11.596), n=67, z=9.51 — 9.5 std devs above average",player,00-0037664,A.Pierce,IND
4,K.Gainwell,xyac_epa,receiver:pressure_label,Clean,1.2196,0.7136,8.594,75,"K.Gainwell [receiver:pressure_label=Clean]: xyac_epa=1.220 vs league 0.714 (+0.506), n=75, z=8.59 — 8.6 std devs above average",player,00-0036919,K.Gainwell,PIT
5,K.Gainwell,comp_air_epa,receiver:pressure_label,Clean,-0.8893,0.1322,-8.54,75,"K.Gainwell [receiver:pressure_label=Clean]: comp_air_epa=-0.889 vs league 0.132 (-1.021), n=75, z=-8.54 — 8.5 std devs below average",player,00-0036919,K.Gainwell,PIT
6,A.Pierce,air_yards,receiver:shotgun_label,Shotgun,18.2899,8.092,8.577,69,"A.Pierce [receiver:shotgun_label=Shotgun]: air_yards=18.290 vs league 8.092 (+10.198), n=69, z=8.58 — 8.6 std devs above average",player,00-0037664,A.Pierce,IND
7,K.Gainwell,air_yards,receiver:pass_length,short,-0.4889,4.2779,-8.226,90,"K.Gainwell [receiver:pass_length=short]: air_yards=-0.489 vs league 4.278 (-4.767), n=90, z=-8.23 — 8.2 std devs below average",player,00-0036919,K.Gainwell,PIT
8,T.Spears,air_yards,receiver:pass_length,short,-2.3,4.2779,-8.46,50,"T.Spears [receiver:pass_length=short]: air_yards=-2.300 vs league 4.278 (-6.578), n=50, z=-8.46 — 8.5 std devs below average",player,00-0039032,T.Spears,TEN
9,K.Gainwell,comp_air_epa,receiver:pass_length,short,-0.802,-0.0357,-7.98,90,"K.Gainwell [receiver:pass_length=short]: comp_air_epa=-0.802 vs league -0.036 (-0.766), n=90, z=-7.98 — 8.0 std devs below average",player,00-0036919,K.Gainwell,PIT
10,K.Gainwell,xyac_epa,receiver:shotgun_label,Shotgun,1.1869,0.7213,8.008,81,"K.Gainwell [receiver:shotgun_label=Shotgun]: xyac_epa=1.187 vs league 0.721 (+0.466), n=81, z=8.01 — 8.0 std devs above average",player,00-0036919,K.Gainwell,PIT
