rank,team,metric,dimension,dimension_value,team_value,league_avg,std_devs_away,sample_size,interpretation
1,DEN,comp_yac_epa,pass_rushers,0 rushers,0.0187,0.001,11.606,473,"DEN [pass_rushers=0 rushers]: comp_yac_epa=0.019 vs league 0.001 (+0.018), n=473, z=11.61 — 11.6 std devs above average"
2,LA,pass_oe,defenders_in_box,8 in box,39.7535,-1.9386,7.619,74,"LA [defenders_in_box=8 in box]: pass_oe=39.754 vs league -1.939 (+41.692), n=74, z=7.62 — 7.6 std devs above average"
3,CHI,time_to_throw,pass_length,deep,3.8594,3.2477,7.14,160,"CHI [pass_length=deep]: time_to_throw=3.859 vs league 3.248 (+0.612), n=160, z=7.14 — 7.1 std devs above average"
4,NYJ,pass_oe,play_type,pass,20.4413,28.0107,-8.094,551,"NYJ [play_type=pass]: pass_oe=20.441 vs league 28.011 (-7.569), n=551, z=-8.09 — 8.1 std devs below average"
5,TEN,time_to_throw,was_pressure,True,4.256,3.4084,6.881,134,"TEN [was_pressure=True]: time_to_throw=4.256 vs league 3.408 (+0.848), n=134, z=6.88 — 6.9 std devs above average"
6,TEN,time_to_throw,pressure_label,Pressure,4.256,3.4084,6.881,134,"TEN [pressure_label=Pressure]: time_to_throw=4.256 vs league 3.408 (+0.848), n=134, z=6.88 — 6.9 std devs above average"
7,CHI,time_to_throw,down_str,Down 1,3.2268,2.7574,7.02,261,"CHI [down_str=Down 1]: time_to_throw=3.227 vs league 2.757 (+0.469), n=261, z=7.02 — 7.0 std devs above average"
8,NE,pass_oe,play_type,run,-32.6717,-41.9609,7.837,572,"NE [play_type=run]: pass_oe=-32.672 vs league -41.961 (+9.289), n=572, z=7.84 — 7.8 std devs above average"
9,CHI,time_to_throw,season_type,REG,3.0517,2.6944,7.776,576,"CHI [season_type=REG]: time_to_throw=3.052 vs league 2.694 (+0.357), n=576, z=7.78 — 7.8 std devs above average"
10,CHI,time_to_throw,qb_scramble_label,Designed,3.0367,2.6984,7.942,667,"CHI [qb_scramble_label=Designed]: time_to_throw=3.037 vs league 2.698 (+0.338), n=667, z=7.94 — 7.9 std devs above average"
11,CHI,time_to_throw,play_type,pass,3.0367,2.6984,7.943,667,"CHI [play_type=pass]: time_to_throw=3.037 vs league 2.698 (+0.338), n=667, z=7.94 — 7.9 std devs above average"
12,CHI,time_to_throw,pressure_label,Pressure,4.1191,3.4084,6.65,178,"CHI [pressure_label=Pressure]: time_to_throw=4.119 vs league 3.408 (+0.711), n=178, z=6.65 — 6.7 std devs above average"
13,CHI,time_to_throw,was_pressure,True,4.1191,3.4084,6.65,178,"CHI [was_pressure=True]: time_to_throw=4.119 vs league 3.408 (+0.711), n=178, z=6.65 — 6.7 std devs above average"
14,NYJ,pass_oe,offense_formation,SHOTGUN,-5.3524,6.2398,-7.967,695,"NYJ [offense_formation=SHOTGUN]: pass_oe=-5.352 vs league 6.240 (-11.592), n=695, z=-7.97 — 8.0 std devs below average"
